ros_time_s,Imu_Error_yaw
1757276393.134942532,0.000000
1757276393.233826399,0.000000
1757276393.332175970,0.000000
1757276393.432509899,0.000000
1757276393.534527540,0.000000
1757276393.632320404,0.000000
1757276393.733679771,0.000000
1757276393.832443476,0.000000
1757276393.931336403,0.000000
1757276394.034927845,0.000000
1757276394.133343697,0.000000
1757276394.233051300,0.000000
1757276394.332807064,0.000000
1757276394.433346987,0.000000
1757276394.532998085,0.000000
1757276394.633487463,0.000000
1757276394.733061075,0.000000
1757276394.833103657,0.000000
1757276394.931332111,0.000000
1757276395.032631874,0.000000
1757276395.134765387,0.000000
1757276395.233136654,0.000000
1757276395.334892511,0.000000
1757276395.433985710,0.000000
1757276395.533360481,0.000000
1757276395.633410931,0.000000
1757276395.733851671,0.000000
1757276395.833661556,0.000000
1757276395.932262421,0.000000
1757276396.034076214,0.000000
1757276396.132926702,0.000000
1757276396.232992172,0.000000
1757276396.334254026,0.000000
1757276396.433432817,0.000000
1757276396.534121513,0.000000
1757276396.634101391,0.000000
1757276396.733435869,0.000000
1757276396.832906008,0.000000
1757276396.933272123,0.000000
1757276397.033314466,0.000000
1757276397.132632732,0.000000
1757276397.234580278,0.000000
1757276397.334916115,0.000000
1757276397.434132576,0.000000
1757276397.531559944,0.000000
1757276397.634641171,0.000000
1757276397.728528976,0.000000
1757276397.828427076,0.000000
1757276397.928472996,0.000000
1757276398.028502226,0.000000
1757276398.128103495,0.000000
1757276398.228685856,0.000000
1757276398.328204632,0.000000
1757276398.428173542,0.000000
1757276398.528188944,0.000000
1757276398.628288031,0.000000
1757276398.728446960,0.000000
1757276398.828328371,0.000000
1757276398.928441763,0.000000
1757276399.028484583,0.000000
1757276399.128665447,0.000000
1757276399.228846073,0.000000
1757276399.329511404,0.000000
1757276399.428689718,0.000000
1757276399.529647827,0.000000
1757276399.628912687,0.000000
1757276399.734439611,0.000000
1757276399.829292297,0.000000
1757276399.929562330,0.000000
1757276400.028828859,0.000000
1757276400.134475470,0.000000
1757276400.228734732,0.000000
1757276400.329384804,0.000000
1757276400.428279877,0.000000
1757276400.528539181,0.000000
1757276400.628402948,0.000000
1757276400.728502035,0.000000
1757276400.828522921,0.000000
1757276400.928642511,0.000000
1757276401.028871775,0.000000
1757276401.128742218,0.000000
1757276401.228273153,0.000000
1757276401.328491688,0.000000
1757276401.428532124,0.000000
1757276401.528264046,0.000000
1757276401.628328085,0.000000
1757276401.728368282,0.000000
1757276401.829246044,0.000000
1757276401.928107023,0.000000
1757276402.028196335,0.000000
1757276402.128447056,0.000000
1757276402.228326797,0.000000
1757276402.331145763,0.000000
1757276402.428426027,0.000000
1757276402.528017998,0.000000
1757276402.628296852,0.000000
1757276402.729825974,0.000000
1757276402.828500032,0.000000
1757276402.928224802,0.000000
1757276403.028147936,0.000000
1757276403.128196239,0.000000
1757276403.228128910,0.000000
1757276403.328508377,0.000000
1757276403.428053141,0.000000
1757276403.528706789,0.000000
1757276403.630586147,0.000000
1757276403.731492519,0.000000
1757276403.830326557,0.000000
1757276403.929193735,0.000000
1757276404.028526068,0.000000
1757276404.127877235,0.000000
1757276404.230258465,0.000000
1757276404.332148314,0.000000
1757276404.433932781,0.000000
1757276404.533921480,-0.000000
1757276404.633542538,-0.004363
1757276404.735562801,-0.006458
1757276404.831558704,-0.009774
1757276404.933406115,-0.010821
1757276405.028651714,-0.018500
1757276405.132734537,-0.027227
1757276405.231466293,-0.030543
1757276405.334185839,-0.033859
1757276405.432114601,-0.031590
1757276405.532569170,-0.028274
